universidad,carrera,fecha_de_inscripcion,name,sexo,fecha_nacimiento,codigo_postal,direccion,correo_electronico
UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2020-11-01,CHELSEA TAYLOR,F,1922-03-18,6200,"900 MAYO LIGHT
BAKERCHESTER, IA 10691",MICHAEL67@GMAIL.COM
UNIVERSIDAD DE FLORES,INGENIERÍA EN INFORMÁTICA,2020-12-09,DANIEL BROWN,M,1939-09-29,1633,"3117 CURTIS ALLEY
SOUTH WILLIEPORT, IN 36546",KHODGES@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS ANTROPOLÓGICAS,2020-09-11,MS. AMY SCOTT,F,1991-05-12,5777,"072 CYNTHIA GROVE APT. 356
EAST LAURASIDE, TN 76437",DMADDEN@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-18,DAVID HUBER,M,1952-04-02,4605,"139 EVANS FREEWAY APT. 860
MARSHALLMOUTH, NM 37988",WWEBB@HOTMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-06,STEVEN MUNOZ,M,1955-03-26,5381,"1637 HENRY PORTS SUITE 461
EAST TIFFANYBURY, WY 75509",CHRISTOPHER00@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-12-22,TIM COX,M,2004-02-27,5622,"853 FLORES HILLS SUITE 959
NEW THOMAS, NJ 15969",ALICIAPEARSON@HOTMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO INDUSTRIAL,2020-12-22,JOANN DOMINGUEZ,F,1916-07-28,3308,"17944 JUSTIN PASSAGE
HERNANDEZTON, NM 44342",ELIZABETH50@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-10-19,MRS. BREANNA ANDERSON MD,F,1955-09-27,5622,"273 MARK MANORS SUITE 752
LAKE MICHAELVILLE, OK 26139",RREILLY@HOTMAIL.COM
UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-11-20,IAN LEWIS,M,2006-04-29,2508,"808 SIMPSON RIDGE
SOUTH VICTORIA, IN 40139",KIMANN@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS AMBIENTALES,2020-09-08,ALEXANDER WILLIAMS,M,2008-05-21,4163,"455 VALENZUELA EXTENSIONS APT. 429
MICHAELLAND, WI 68300",LESLIE97@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN PLANIFICACIÓN Y DISEÑO DEL PAISAJE,2020-11-11,EMILY WILSON,F,1939-05-20,3328,"470 STACY LODGE
JACKIECHESTER, WV 78792",MARK19@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS BIOLÓGICAS,2020-12-04,LAURA CLAY,F,2003-08-23,1659,"5672 TERRI CLUB
NORTH JEFF, VA 78893",KELLYJORDAN@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN SOCIOLOGÍA ,2021-01-16,BRIAN ALEXANDER,M,1910-06-03,3706,"709 SOLOMON COMMON
HENDRICKSTOWN, WV 83630",MPOWELL@GMAIL.COM
UNIVERSIDAD DE FLORES,AGRONOMÍA,2021-01-18,ERIK ADAMS,M,2009-05-30,6077,"51586 JONES PASSAGE SUITE 626
LAKE JEANNE, IN 62769",VICTOR43@YAHOO.COM
UNIVERSIDAD DE FLORES,FARMACIA,2020-12-27,SARA HANSEN,F,1958-05-17,5572,"863 RICKEY FORT
WEST SHERI, CT 74767",MDAVIS@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA,2021-01-29,FRANK FIELDS,M,1908-04-14,3531,"7711 GOODMAN DRIVE APT. 027
MICHAELFURT, OK 78726",KATHY78@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN GESTIÓN DE AGROALIMENTOS,2020-10-27,SANDRA WHITE,F,2013-03-17,6476,"24858 NEWMAN GROVE SUITE 331
EAST PATRICIACHESTER, DC 25663",TARA67@HOTMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIAS DE LA COMPUTACIÓN,2020-12-09,LOGAN MELTON,M,1926-11-12,6405,"405 EDWARDS ROADS SUITE 105
BURKESIDE, DC 51840",KAYLA62@GMAIL.COM
UNIVERSIDAD DE FLORES,INGENIERÍA MECÁNICA,2020-09-11,MICHAEL DOWNS,M,1918-11-18,3109,"592 ANDERSON HAVEN SUITE 297
GEORGEBURY, KS 15152",YNELSON@GMAIL.COM
UNIVERSIDAD DE FLORES,AGRONOMÍA,2020-11-07,SARAH HODGE,F,1926-08-11,2615,"5597 RYAN SUMMIT APT. 271
PORT HANNAHHAVEN, VA 31778",EWILLIS@HOTMAIL.COM
UNIVERSIDAD DE FLORES,BIOQUÍMICA,2020-12-26,HEATHER LOPEZ,F,1989-07-22,3522,"8882 LIN SPUR
NEW KATHERINESHIRE, PA 94729",DAVILALORI@GMAIL.COM
UNIVERSIDAD DE FLORES,DISEÑO DE IMAGEN Y SONIDO,2020-09-29,KIMBERLY DANIELS,F,1994-11-01,1665,"02012 JOSE WALK
BYRDBOROUGH, NH 38666",FOSTERJOSHUA@YAHOO.COM
UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-12-26,TYLER DAVIS,M,1962-01-15,1754,"04705 ERIKA KNOLLS
SHELBYTOWN, IL 58084",THOMPSONRANDY@YAHOO.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN CIENCIA Y TECNOLOGÍA DE ALIMENTOS,2020-10-03,ANNA SCOTT,F,1906-12-03,5411,"6200 VELASQUEZ FOREST APT. 110
PORT SERGIO, OK 34101",BOYDBRENDA@YAHOO.COM
UNIVERSIDAD DE FLORES,CIENCIAS VETERINARIAS,2020-11-27,JESSICA LEE,F,2018-02-12,8175,"8731 STEPHANIE CURVE SUITE 706
PORT JOSHUA, MO 71173",RHAMPTON@GMAIL.COM
UNIVERSIDAD DE FLORES,LICENCIATURA EN ARTES,2020-12-10,GREGORY POWERS,M,1905-12-11,3105,"3304 MILLER BRIDGE
WEST SHELLYVILLE, LA 05839",JOSHUA53@GMAIL.COM
