universidad,carrera,fecha_de_inscripcion,nombre,sexo,fecha_nacimiento,localidad,direccion,email
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,15-Sep-20,JONATHAN_HARRIS_MD,M,05-Oct-15,CIUDAD_MADERO,"594_ALVARADO_STREET_SUITE_945
CHANSIDE,_IL_06393",RICHARD21@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,20-Sep-20,JAMIE_HARRELL,F,18-Sep-67,VILLA_ADELINA,"9556_RYAN_FORD
PORT_DEVINBOROUGH,_UT_80704",JDALTON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_SOCIOLOGÍA_,26-Dec-20,ROGER_GREGORY,M,22-May-87,CANDELARIA,"7615_HAYS_COVE_APT._447
CHRISTINEBURY,_LA_00827",JUANMAY@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_DE_LA_COMPUTACIÓN,29-Oct-20,BRITTANY_LANDRY,F,20-Feb-08,AGUA_SEBALLE,"36685_PATTON_ESTATES_APT._781
BRYANBOROUGH,_TX_27488",ITORRES@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,BIOQUÍMICA,26-Oct-20,DANIELLE_WHEELER,F,25-Aug-61,BERMUDEZ,"86991_TIMOTHY_VALLEYS
MATTHEWVIEW,_MS_38879",TIFFANYWASHINGTON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_GEOLÓGICAS,06-Oct-20,REBECCA_BENSON,F,06-Oct-51,ATALIVA_ROCA,"489_CATHY_MANORS_SUITE_653
SOUTH_AUTUMN,_TX_57866",JMONROE@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ACTUARIO_,20-Jan-21,KELSEY_WARD,F,23-Mar-00,AERO_CLUB_ROSARIO,"88212_TORRES_RAPID_APT._689
SOUTH_MADISONVILLE,_IA_76357",VERONICALEWIS@GMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,24-Nov-20,CHRISTINE_MITCHELL,F,25-Sep-12,SAN_NICOLAS_DE_LOS_ARROYOS,"PSC_1259,_BOX_2319
APO_AP_54648",MALONEJOSEPH@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_AMBIENTALES,16-Sep-20,MICHAEL_NIELSEN,M,21-Nov-18,ABRA_DEL_TRIGO,"598_DAWN_COURSE_APT._418
DUNNBOROUGH,_VT_38589",FFLORES@GMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIA_POLÍTICA_,17-Jan-21,JESSICA_LI,F,02-Apr-54,RIO_TALA,"880_GRAY_JUNCTION
PORT_WILLIAM,_MD_94722",XGOLDEN@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,22-Oct-20,TODD_MENDOZA,M,29-Jan-48,KILOMETRO_208,"02653_TAMMY_DIVIDE_SUITE_553
NORTH_SUSANVILLE,_TN_23469",JBAKER@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,DISEÑO_DE_IMAGEN_Y_SONIDO,30-Dec-20,PEGGY_MEYER,F,01-Jan-41,GOBERNADOR_DUVAL,"UNIT_7092_BOX_8584
DPO_AA_36877",SABRINA38@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_CIENCIAS_BIOLÓGICAS,26-Nov-20,RYAN_BROWN,M,02-Feb-98,AGUADA_DE_PIEDRA,"460_JUSTIN_CAPE
PORT_SETHTON,_DE_34316",CALEB20@YAHOO.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,LICENCIATURA_EN_PLANIFICACIÓN_Y_DISEÑO_DEL_PAISAJE,12-Sep-20,JOANN_BENNETT,F,22-Sep-30,CALEUFU,"98207_NICOLE_SQUARES_APT._126
JOSHUABERG,_WI_22502",CNICHOLSON@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,CIENCIAS_VETERINARIAS,07-Jan-21,WILLIAM_CONLEY,M,27-Aug-84,ABRA_DEL_TRIGO,"100_WILSON_BURGS
ANGELAMOUTH,_CT_85217",CHUBBARD@HOTMAIL.COM
UNIVERSIDAD_NACIONAL_DE_VILLA_MARÍA,ARQUITECTURA,09-Nov-20,JOSEPH_ROSALES,M,04-Dec-65,FORTIN_CHACO,"260_MARK_RIDGES_SUITE_846
SOUTH_GREGORY,_NC_26965",BPEARSON@HOTMAIL.COM
