university,career,inscription_date,nombre,sexo,birth_date,location,direccion,email
universidad nacional de jujuy,licenciatura en musicoterapia,2020/11/27,megan lopez,f,1967/03/11,arroyo de la ventana,"435 monica motorway suite 597
aprilstad, wv 58294",reeddonald@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/11/01,corey alvarado,m,2011/03/17,aldecon,"7168 baxter islands
reyeston, ga 03006",shawnhunt@gmail.com
universidad nacional de jujuy,licenciatura en ciencias ambientales,2020/10/24,jessica jordan,f,1945/09/07,campo yaguarete,"4843 jacob route
whitakerfurt, vt 07145",daymatthew@gmail.com
universidad nacional de jujuy,contador público ,2020/11/23,heather williams,f,1933/02/14,bajo la cancha,"215 joseph ridges
west christina, sc 43977",travissutton@yahoo.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/09/22,jose jones,m,2004/03/29,amuschina,"814 morton rue suite 142
new stevenhaven, nm 97487",jennifer87@hotmail.com
universidad nacional de jujuy,diseño de imagen y sonido,2020/11/14,terry shelton,m,1926/01/22,colonia jauregui,"714 tyler walk
kevinfort, tx 67841",kellerkristopher@yahoo.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2020/09/12,brent murray,m,1937/09/20,barrio garin norte,"4315 michael trail
thomasburgh, az 69240",elizabeth47@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/11/10,rebecca hart,f,2001/06/21,las hermanas,"psc 0115, box 6042
apo aa 41736",tammy58@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/09/29,joshua henderson,m,1911/12/18,anecon grande,"183 mckay center
lake leslie, mn 04334",tryan@hotmail.com
universidad nacional de jujuy,licenciatura en producción de bioimagenes,2020/12/07,jack shannon,m,1921/10/16,campo moreno,"7597 wheeler club
new charles, nd 10281",harrisalbert@yahoo.com
universidad nacional de jujuy,diseño industrial,2020/12/09,vanessa martin,f,1949/04/06,ingeniero allan,"8791 tom prairie
north coreystad, tn 52368",matthew92@gmail.com
universidad nacional de jujuy,licenciatura en ciencias antropológicas,2021/01/30,tyler horne,m,1943/07/15,cañada,"552 myers extension
brewerfort, il 92818",aaronlarsen@hotmail.com
universidad nacional de jujuy,ingeniería en informática,2021/01/07,robert brown,m,1959/02/08,villa angelica,"052 clark meadows suite 026
lake keith, nm 94964",cantuthomas@gmail.com
universidad nacional de jujuy,agronomía,2021/01/11,frank obrien,m,1924/11/29,barrio parque leloir,"021 willie station
east dawnborough, vt 24325",scurry@yahoo.com
universidad nacional de jujuy,licenciatura en relaciones del trabajo ,2020/12/18,dr. stacie wilson,f,1974/07/24,la porteña,"usnv greer
fpo ap 57020",bryantsydney@yahoo.com
