university	career	inscription_date	first_name	last_name	gender	age	postal_code	location	email
universidad nacional de tres de febrero	licenciatura en ciencia política	2020/09/01	andre	stevens	male	6	3071	aguara grande	melissahill@hotmail.com
universidad nacional de tres de febrero	licenciatura en kinesiología y fisiatría	2020/09/01	margaret	miller	female	16	3553	colonia duran	williamsbrett@yahoo.com
universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2020/09/01	richard	moore	male	1	5460	agua de la zorra	mwilliams@hotmail.com
universidad nacional de tres de febrero	diseño industrial	2020/09/01	natalie	collins	female	35	2258	campo quiñones	jhawkins@yahoo.com
universidad nacional de tres de febrero	licenciatura en artes	2020/09/01	melissa	rodriguez	female	13	5594	alto con zampa	kbrown@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencias de la computación	2020/09/01	linda	becker	female	75	8349	aguas de las mulas	william32@yahoo.com
universidad nacional de tres de febrero	técnico para bioterios	2020/09/01	tiffany	stuart	female	86	5759	calera argentina	rachelpatton@hotmail.com
universidad nacional de tres de febrero	arquitectura	2020/09/01	gina	duncan	female	9	6205	el guanaco	danarichardson@hotmail.com
universidad nacional de tres de febrero	licenciatura en producción de bioimagenes	2020/09/01	jaime	martin	female	13	7631	costa bonita balneario	dholloway@yahoo.com
universidad nacional de tres de febrero	licenciatura en artes	2020/09/01	samantha	ray	female	6	3423	arañita	dvang@yahoo.com
universidad nacional de tres de febrero	bioquímica	2020/09/01	laurie	patterson	female	38	3023	cululu	montgomerydaniel@yahoo.com
universidad nacional de tres de febrero	ingeniería electrónica	2020/09/01	rebecca	martinez	female	90	6725	carmen de areco	matthew68@gmail.com
universidad nacional de tres de febrero	ciencias veterinarias	2020/09/02	catherine	barton	female	9	2443	colonia margarita	maxwellbethany@gmail.com
universidad nacional de tres de febrero	licenciatura en terapia ocupacional	2020/09/02	andrew	hubbard	male	30	3463	aristia	jharris@gmail.com
universidad nacional de tres de febrero	licenciatura en administración	2020/09/02	shannon	escobar	female	2	5579	barrio lencina	terrywilliam@gmail.com
universidad nacional de tres de febrero	licenciatura en ciencias geológicas	2020/09/02	gary	collins	male	1	2601	la chispa	fadams@gmail.com
universidad nacional de tres de febrero	ingeniería electrónica	2020/09/02	jennifer	rowe	female	74	6663	juan vela	mfarley@yahoo.com
universidad nacional de tres de febrero	licenciatura en ciencias antropológicas	2020/09/02	taylor	bailey	male	60	8422	aguada de piedra	melanie26@hotmail.com
universidad nacional de tres de febrero	licenciatura en artes	2020/09/02	cody	lopez	male	8	5329	amuschina	carlygibbs@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencias antropológicas	2020/09/02	william	miller	male	2	9421	frigorifico cap	matthewowens@yahoo.com
universidad nacional de tres de febrero	ingeniería mecánica	2020/09/02	april	mullins	female	88	9051	aguada a pique	melissaperez@yahoo.com
universidad nacional de tres de febrero	licenciatura en musicoterapia	2020/09/02	tracy	sanchez	female	65	1744	cuartel v	whitemike@gmail.com
universidad nacional de tres de febrero	técnico para bioterios	2020/09/02	katherine	wade	female	29	3486	villa olivari	lpowell@gmail.com
universidad nacional de tres de febrero	licenciatura en planificación y diseño del paisaje	2020/09/03	melissa	reyes	female	93	3283	colonia mabragaña	nelsonjamie@hotmail.com
universidad nacional de tres de febrero	licenciatura en kinesiología y fisiatría	2020/09/03	vanessa	yang	female	79	3432	bella vista	conradmelissa@hotmail.com
universidad nacional de tres de febrero	ingeniería electrónica	2020/09/03	gerald	briggs	male	87	3327	colonia roca	natalierobinson@gmail.com
universidad nacional de tres de febrero	licenciatura en kinesiología y fisiatría	2020/09/03	michele	sanchez	female	97	1667	manuel alberti	ronald19@gmail.com
universidad nacional de tres de febrero	ingeniería en informática	2020/09/03	lisa	weber	female	42	4109	alto nuestra señora del valle	thomasnicole@yahoo.com
universidad nacional de tres de febrero	licenciatura en terapia ocupacional	2020/09/03	anthony	guzman	male	82	5757	san lorenzo	joan81@yahoo.com
universidad nacional de tres de febrero	licenciatura en relaciones del trabajo	2020/09/03	donald	reeves	male	42	4142	alto de leiva	barrettjames@gmail.com
universidad nacional de tres de febrero	licenciatura en ciencias geológicas	2020/09/03	mary	russell	female	25	3197	abra guazu	alex64@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencia y tecnología de alimentos	2020/09/03	adam	avila	male	61	8111	arroyo pareja	reynoldsclifford@yahoo.com
universidad nacional de tres de febrero	licenciatura en ciencia política	2020/09/03	derrick	smith	male	41	2258	campo quiñones	michaelsmith@gmail.com
universidad nacional de tres de febrero	licenciatura en planificación y diseño del paisaje	2020/09/03	cassie	anderson	female	49	8500	el dique	umason@hotmail.com
universidad nacional de tres de febrero	agronomía	2020/09/03	charles	ortega	male	16	3569	barros pazos	navarroveronica@hotmail.com
universidad nacional de tres de febrero	licenciatura en ciencia y tecnología de alimentos	2020/09/03	sean	diaz	male	42	6648	mecha	iboyd@yahoo.com
universidad nacional de tres de febrero	licenciatura en ciencias de la computación	2020/09/03	sara	weber	female	94	8158	aparicio	bbutler@gmail.com
universidad nacional de tres de febrero	diseño industrial	2020/09/04	william	thornton	male	58	5260	acheral	melissacarey@yahoo.com
universidad nacional de tres de febrero	licenciatura en administración	2020/09/04	sean	barnett	male	74	7301	ariel	ksmith@gmail.com
