univiersities,carrera,inscription_dates,names,sexo,fechas_nacimiento,direcciones,email,localidad
-universidad-abierta-interamericana,Licenciatura-en-producción-de-bioimagenes,2021-01-21,Tyrone-roberts,M,04/Jan/26,"23357-hall-mountains
charlesland,-wy-26886",Millerrandall@gmail.com,Barra-bonita
-universidad-abierta-interamericana,Medicina,2020-10-21,David-wallace,M,41/Jul/24,"91995-nunez-mission-apt.-610
north-andrew,-ak-64150",Wjohnson@yahoo.com,Betbeder
-universidad-abierta-interamericana,Farmacia,2020-12-20,Brandon-carter,M,86/May/30,"3007-austin-mill
harrisborough,-tx-54035",Reedaustin@yahoo.com,Alcorta
-universidad-abierta-interamericana,Farmacia,2020-10-19,Jessica-patel,F,84/Sep/28,"3789-dunlap-haven
west-robert,-nc-60568",Williamselizabeth@hotmail.com,Cañada-seca
-universidad-abierta-interamericana,Diseño-de-imagen-y-sonido,2020-12-20,Joshua-wheeler,M,76/Dec/12,"462-garrett-pike-apt.-829
evansborough,-fl-73273",Fgarza@yahoo.com,Berabevu
-universidad-abierta-interamericana,Licenciatura-en-sociología-,2020-12-21,Latasha-houston,F,06/Apr/04,"243-glen-streets
ryanton,-il-86830",Gwright@hotmail.com,Lehmann
-universidad-abierta-interamericana,Diseño-industrial,2020-10-20,Sean-lindsey,M,62/Aug/24,"562-stacy-parks
lake-josephton,-nm-43611",Mmiles@hotmail.com,Balneario-los-angeles
-universidad-abierta-interamericana,Ingeniería-electrónica,2020-11-21,Martha-garrett,F,46/Mar/26,"076-bennett-terrace-apt.-803
north-jenna,-oh-90460",Craigjessica@yahoo.com,9-de-julio
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2020-12-21,Jerry-russell,M,98/Jan/06,"93544-ramos-course
jamesville,-md-54102",Frenchsean@hotmail.com,Aceilan
-universidad-abierta-interamericana,Licenciatura-en-ciencia-política-,2020-12-21,Deborah-hill,F,89/Jul/04,"407-macdonald-place
rhondaborough,-id-95343",Melissaprice@gmail.com,Cangallo
