university,carrer,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad abierta interamericana,licenciatura en produccion de bioimagenes,2021-01-21,tyron,roberts,male,119,3357,"23357 hall mountains
charleslandwy 26886",Millerrandall@gmail.com
universidad abierta interamericana,medicina,2020-10-21,davi,wallace,male,81,3156,"91995 nunez mission apt 610
north andrewak 64150",Wjohnson@yahoo.com
universidad abierta interamericana,farmacia,2020-12-20,brando,carter,male,37,2117,"3007 austin mill
harrisboroughtx 54035",Reedaustin@yahoo.com
universidad abierta interamericana,farmacia,2020-10-19,jessic,patel,female,38,5603 6105,"3789 dunlap haven
west robertnc 60568",Williamselizabeth@hotmail.com
universidad abierta interamericana,diseno de imagen y sonido,2020-12-20,joshu,wheeler,male,46,2639,"462 garrett pike apt 829
evansboroughfl 73273",Fgarza@yahoo.com
universidad abierta interamericana,licenciatura en sociologia,2020-12-21,latash,houston,female,117,2305,"243 glen streets
ryantonil 86830",Gwright@hotmail.com
universidad abierta interamericana,diseno industrial,2020-10-20,sea,lindsey,male,60,7641,"562 stacy parks
lake josephtonnm 43611",Mmiles@hotmail.com
universidad abierta interamericana,ingenieria electronica,2020-11-21,marth,garrett,female,77,3445 3714 5417 5533 5831 6500,"076 bennett terrace apt 803
north jennaoh 90460",Craigjessica@yahoo.com
universidad abierta interamericana,licenciatura en ciencia politica,2020-12-21,jerr,russell,male,25,7003,"93544 ramos course
jamesvillemd 54102",Frenchsean@hotmail.com
universidad abierta interamericana,licenciatura en ciencia politica,2020-12-21,debora,hill,female,33,7153,"407 macdonald place
rhondaboroughid 95343",Melissaprice@gmail.com
universidad abierta interamericana,licenciatura en ciencias geologicas,2020-09-21,regin,livingston,female,114,3304,"62668 kim canyon
west angelatonwa 14719",Cynthiapalmer@gmail.com
universidad abierta interamericana,licenciatura en relaciones del trabajo,2020-11-19,jennife,hernandez,female,43,1619,"6493 myers row apt 839
west danielid 25914",Fschneider@yahoo.com
universidad abierta interamericana,actuario,2020-11-21,tod,walsh,male,87,6405,"891 jessica forest
south meghanmi 54615",Jessica92@yahoo.com
